CustomerID,InvoiceNo,Basket Price,InvoiceDate,categ_0,categ_1,categ_2,categ_3,categ_4
12347,537626,711.79,2010-12-07 14:57:00.000000000,293.35,83.4,124.44,23.400000000000002,187.2
12347,542237,475.39,2011-01-26 14:29:59.999999744,169.2,53.10000000000001,38.25,84.34,130.5
12347,549222,636.25,2011-04-07 10:43:00.000000000,115.0,71.10000000000001,38.25,81.0,330.90000000000003
12347,556201,382.52,2011-06-09 13:01:00.000000000,168.76,78.06,19.9,41.39999999999999,74.39999999999999
12347,562032,584.9100000000001,2011-08-02 08:48:00.000000000,158.16,119.7,136.05,61.300000000000004,109.69999999999999
12348,539318,892.8,2010-12-16 19:09:00.000000000,0.0,0.0,240.0,478.8,174.0
12348,541998,227.44,2011-01-25 10:42:00.000000000,0.0,0.0,40.0,187.44,0.0
12348,548955,367.0,2011-04-05 10:47:00.000000000,0.0,0.0,40.0,17.0,310.0
12348,568172,310.0,2011-09-25 13:13:00.000000000,0.0,0.0,40.0,0.0,270.0
12350,543037,334.4,2011-02-02 16:01:00.000000000,0.0,93.30000000000001,40.0,39.099999999999994,162.0
12352,544156,296.5,2011-02-16 12:32:59.999999744,53.5,17.700000000000003,139.5,10.2,75.6
12352,545323,144.35,2011-03-01 14:57:00.000000000,14.850000000000001,0.0,109.7,0.0,19.799999999999997
12352,545332,840.3,2011-03-01 15:52:00.000000000,0.0,0.0,840.3,0.0,0.0
12352,547390,160.33,2011-03-22 16:08:00.000000000,14.850000000000001,35.400000000000006,40.0,0.0,70.08
12352,567505,366.25,2011-09-20 14:34:00.000000000,113.5,16.8,153.85,0.0,82.1
12352,568699,266.25,2011-09-28 14:58:00.000000000,129.15,0.0,117.3,0.0,19.799999999999997
12353,553900,89.0,2011-05-19 17:47:00.000000000,0.0,17.700000000000003,59.699999999999996,0.0,11.6
12354,550911,1079.4,2011-04-21 13:11:00.000000000,212.65,116.85000000000001,252.0,161.38,336.52
12355,552449,459.4,2011-05-09 13:49:00.000000000,116.1,53.10000000000001,45.4,0.0,244.8
12356,541430,2271.62,2011-01-18 09:50:00.000000000,204.0,259.5,913.6800000000001,223.6,670.84
12356,549435,481.46000000000004,2011-04-08 12:33:00.000000000,0.0,94.4,94.8,174.15,118.11
12358,559707,484.86,2011-07-12 10:04:00.000000000,15.0,17.700000000000003,401.40000000000003,0.0,50.76
12359,540946,547.5,2011-01-12 12:43:00.000000000,76.5,52.7,393.1,8.4,16.8
12359,543370,1803.11,2011-02-07 14:51:00.000000000,271.85,138.70000000000002,1148.3,97.56,146.7
12359,555477,1109.32,2011-06-03 12:26:00.000000000,168.45000000000002,203.5,525.85,40.31999999999999,171.2
12360,554132,1083.58,2011-05-23 09:43:00.000000000,102.80000000000001,172.26000000000002,429.09999999999997,116.96,262.46
12360,563749,534.7,2011-08-19 10:10:00.000000000,49.800000000000004,222.70000000000002,147.8,47.36,67.03999999999999
12361,545017,189.9,2011-02-25 13:51:00.000000000,0.0,35.400000000000006,15.0,0.0,139.5
12362,544203,474.2,2011-02-17 10:30:00.000000000,49.8,136.85,45.0,10.2,232.35
12362,551346,495.24,2011-04-28 09:12:00.000000000,115.0,61.8,60.9,38.04,219.5
12362,559295,303.76,2011-07-07 12:32:00.000000000,49.650000000000006,53.10000000000001,86.65,20.16,94.19999999999999
12362,563037,451.35,2011-08-11 15:02:00.000000000,8.5,68.4,45.0,51.0,278.45
12362,568651,829.99,2011-09-28 12:04:00.000000000,264.65000000000003,197.85000000000002,252.95,28.44,86.1
12363,549687,299.1,2011-04-11 13:29:00.000000000,0.0,0.0,47.7,79.2,172.2
12363,563947,252.9,2011-08-22 10:18:00.000000000,29.700000000000003,168.6,0.0,19.8,34.8
12364,563854,623.92,2011-08-19 15:24:00.000000000,34.650000000000006,32.45,66.9,194.12,295.8
12364,567897,79.8,2011-09-22 16:07:00.000000000,0.0,0.0,15.0,64.8,0.0
12365,544574,320.69,2011-02-21 13:51:00.000000000,49.5,106.20000000000002,12.75,5.04,147.2
12365,544578,320.69,2011-02-21 14:04:00.000000000,0.0,0.0,320.69,0.0,0.0
12370,538826,1587.07,2010-12-14 12:58:00.000000000,193.2,557.9,56.85,163.5,615.62
12370,539330,277.2,2010-12-17 09:38:00.000000000,49.7,17.700000000000003,188.0,10.2,11.6
12370,546236,938.39,2011-03-10 12:48:00.000000000,273.7,119.4,103.0,278.64,163.65
12372,544157,399.22,2011-02-16 12:46:00.000000000,49.0,97.80000000000001,83.7,40.32,128.39999999999998
12372,552731,515.7,2011-05-11 10:43:00.000000000,29.700000000000003,141.60000000000002,67.8,84.0,192.59999999999997
12372,568872,383.12,2011-09-29 12:12:00.000000000,32.0,17.700000000000003,30.0,19.919999999999998,283.5
12373,542887,364.6,2011-02-01 13:10:00.000000000,17.700000000000003,170.10000000000002,40.0,51.0,85.8
12375,565333,230.3,2011-09-02 14:23:00.000000000,49.800000000000004,83.2,71.8,25.5,0.0
12377,539488,1001.52,2010-12-20 09:37:00.000000000,355.8,219.6,0.0,98.52,327.59999999999997
12377,542586,626.6,2011-01-28 15:45:00.000000000,117.9,96.30000000000001,188.3,101.39999999999999,122.7
12378,562046,4008.62,2011-08-02 10:34:00.000000000,629.5500000000001,891.1600000000001,681.35,604.5,1202.06
12379,557789,457.89,2011-06-22 16:32:00.000000000,101.2,96.24,121.19999999999999,74.4,64.85
12379,567196,392.40000000000003,2011-09-19 10:09:00.000000000,0.0,142.70000000000002,30.0,8.5,211.2
12380,555739,607.5500000000001,2011-06-07 09:49:00.000000000,100.70000000000002,249.45000000000002,60.9,66.0,130.5
12380,567928,626.01,2011-09-22 17:31:00.000000000,39.6,300.81,119.7,21.0,144.9
12381,563100,1227.3899999999999,2011-08-12 09:57:00.000000000,144.0,271.81,418.1,103.78,289.7
12383,539840,600.72,2010-12-22 14:28:00.000000000,47.400000000000006,17.700000000000003,45.0,277.62,213.0
12383,540971,639.91,2011-01-12 14:09:59.999999744,33.75,96.0,94.0,166.2,249.95999999999998
12383,546434,357.07,2011-03-14 08:40:59.999999744,80.4,35.400000000000006,184.54999999999998,0.0,56.72
