CustomerID,count,min,max,mean,sum,categ_0,categ_1,categ_2,categ_3,categ_4,cluster
12347,5,382.52,711.79,558.172,2790.86,10.442659251986843,8.676178668940757,18.636190994890462,29.83668116637882,32.40828991780311,4
12348,4,227.44,892.8,449.31,1797.24,38.01606908370613,0.0,20.030713761100355,41.95321715519352,0.0,3
12350,1,334.4,334.4,334.4,334.4,11.692583732057415,0.0,39.86244019138756,48.44497607655503,0.0,2
12352,6,144.35,840.3,345.66333333333336,2073.98,0.4918080212923943,14.301005795620018,56.60372809766729,12.892120464035333,15.711337621384972,8
12353,1,89.0,89.0,89.0,89.0,0.0,22.35955056179775,64.60674157303372,13.03370786516854,0.0,8
12354,1,1079.4,1079.4,1079.4,1079.4,14.950898647396702,16.23587178061886,17.935890309431162,31.176579581248838,19.70075968130443,9
12355,1,459.4,459.4,459.4,459.4,0.0,0.0,21.441010013060517,53.28689595124075,25.27209403569874,2
12356,2,481.46000000000004,2271.62,1376.54,2753.08,14.44745521379691,13.46419283130167,36.021474130791695,28.65699507460735,7.409882749502376,9
12358,1,484.86,484.86,484.86,484.86,0.0,66.28717567957762,20.150146434022194,10.469001361217671,3.0936765251825267,6
12359,3,547.5,1803.11,1153.31,3459.93,4.227831198897087,26.253421311991865,44.90842300277752,9.67360611341848,14.936718372915061,9
12360,2,534.7,1083.58,809.14,1618.28,10.153990656746668,0.0,60.05512025113083,20.361124156511853,9.42976493561065,8
12361,1,189.9,189.9,189.9,189.9,0.0,0.0,26.540284360189574,73.45971563981041,0.0,2
12362,5,303.76,829.99,510.908,2554.54,5.7873433181707865,6.576526497921348,32.902205485136264,35.64633945837607,19.087585240395534,4
12363,2,252.9,299.1,276.0,552.0,17.934782608695652,8.641304347826088,30.543478260869566,37.5,5.380434782608696,4
12364,2,79.8,623.92,351.85999999999996,703.7199999999999,36.79304268743251,0.0,16.24936054112431,42.0337634286364,4.923833342806799,3
12365,2,320.69,320.69,320.69,641.38,0.785805606660638,0.0,68.54594780005613,22.95051295643768,7.717733636845551,8
12370,3,277.2,1587.07,934.2199999999999,2802.66,16.139667316049753,8.129776712123483,29.07951731569295,28.218549520812374,18.432489135321443,4
12372,3,383.12,515.7,432.68,1298.04,11.112138300822778,6.1246186558195435,27.664786909494314,46.57021355274106,8.528242581122308,2
12373,1,364.6,364.6,364.6,364.6,13.98793198025233,0.0,57.624794295117944,23.53263850795392,4.85463521667581,8
12375,1,230.3,230.3,230.3,230.3,11.07251411202779,13.808076422058186,53.49544072948328,0.0,21.623968736430744,8
12377,2,626.6,1001.52,814.06,1628.12,12.279193179863892,6.6518438444340715,24.316389455322703,27.65766651106798,29.09490700931136,9
12378,1,4008.62,4008.62,4008.62,4008.62,15.080002594409049,12.641507551227104,26.586705649325705,29.98687827731239,15.704905927725754,7
12379,2,392.40000000000003,457.89,425.145,850.29,9.749614837290808,8.961648378788412,36.921520892871854,32.46539415963965,11.901821731409285,4
12380,2,607.5500000000001,626.01,616.78,1233.56,7.052757871526315,6.615000486397096,52.63302960536983,22.325626641590194,11.373585395116574,8
12381,1,1227.3899999999999,1227.3899999999999,1227.3899999999999,1227.3899999999999,8.455340193418555,12.432886042741103,43.77663171445099,23.60292979411597,11.732212255273385,9
12383,5,99.45,639.91,367.86199999999997,1839.31,25.780319793835734,8.40804432096819,25.120833355986754,29.20008046495696,11.490722064252356,4
12384,1,273.58000000000004,273.58000000000004,273.58000000000004,273.58000000000004,1.8203085020834853,24.800789531398486,46.84187440602383,9.320856787776883,17.2161707727173,8
12386,2,143.0,258.9,200.95,401.9,27.668574272207014,24.483702413535706,4.4040806170689235,43.44364269718836,0.0,2
12388,5,124.05000000000001,902.09,498.85200000000003,2494.26,13.591205407615886,9.122946284669602,25.019444644904702,20.75966418897789,31.506739473831917,4
12390,1,549.84,549.84,549.84,549.84,21.104321257092973,10.839516950385566,25.371017023134,19.31470973374072,23.370435035646732,4
